fourcc	container or leaf	box or fullbox	description	spec
tkhd	leaf	fullbox	Track header	ISO
tlou	cont	?	Track loudness	ISO
tmax	leaf	box	hint max relative time	ISO
tmcd	leaf	?	Time code	QT
tmin	leaf	box	hint min relative time	ISO
totl	leaf	box	hint Bytes Sent incl RTP	ISO
tpay	leaf	box	hint Bytes Sent excl RTP	ISO
tpyl	leaf	box	hint Bytes Sent excl RTP	ISO
traf	cont	box	Track fragment	ISO
trak	cont	box	Track	ISO
tref	cont	box	Track reference	ISO
trep	cont	fullbox	Track Extension Properties Box	ISO
trex	leaf	?	Track extends defaults	ISO
trgr	leaf	fullbox	Track grouping information	ISO
trik	cont	?	Facilitates random access and trick play modes	DECE
trpy	leaf	box	hint Bytes Sent incl RTP	ISO
trun	cont	fullbox	Track fragment run	ISO
tsel	leaf	fullbox	Track selection	ISO/3GPP
tsyn	leaf	?	?	?
txas	leaf	?	Track exclude from autoselection	QT
udes	leaf	?	?	?
udta	cont	box	User data box	"ISO can contain non-standard tag like b""\xa9mod"", \xa9enc, \xa9TIM"
uinf	cont	?	a tool by which a vendor may provide access to additional information associated with a UUID	JPEG2000
ulst	cont	?	a list of UUID’s	JPEG2000
urat	leaf	fullbox	User rating	3GPP
url 	leaf	fullbox	URL	JPEG2000
urn 	leaf	fullbox	URN	?
uuid	leaf	uuidbox	user-extension box	ISO
vmhd	leaf	fullbox	Video media header	ISO
vwdi	cont	?	Multiview Scene Information	NALu Video
wide	cont	?	Expansion space reservation	QT
xml 	cont	?	XML container	ISO/JPEG2000
yrrc	leaf	fullbox	Year recorded	3GPP
